Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.44     0.00   133424     0.00     0.00  std::_Rb_tree<val_t, val_t, std::_Identity<val_t>, std::less<val_t>, std::allocator<val_t> >::find(val_t const&) const
  0.00      1.44     0.00   130695     0.00     0.00  ADS_set<val_t, 7ul>::empty() const
  0.00      1.44     0.00   129591     0.00     0.00  ADS_set<val_t, 7ul>::begin() const
  0.00      1.44     0.00   123862     0.00     0.00  bool it_equal<ADS_set<val_t, 7ul>, ADS_set<val_t, 7ul>::Iterator, std::set<val_t, std::less<val_t>, std::allocator<val_t> >, std::_Rb_tree_const_iterator<val_t> >(ADS_set<val_t, 7ul> const&, ADS_set<val_t, 7ul>::Iterator const&, std::set<val_t, std::less<val_t>, std::allocator<val_t> > const&, std::_Rb_tree_const_iterator<val_t> const&)
  0.00      1.44     0.00    99000     0.00     0.00  double std::generate_canonical<double, 53ul, std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul> >(std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul>&)
  0.00      1.44     0.00    90862     0.00     0.00  std::pair<std::_Rb_tree_iterator<val_t>, bool> std::_Rb_tree<val_t, val_t, std::_Identity<val_t>, std::less<val_t>, std::allocator<val_t> >::_M_insert_unique<val_t const&>(val_t const&)
  0.00      1.44     0.00    69240     0.00     0.00  std::_Rb_tree<val_t, val_t, std::_Identity<val_t>, std::less<val_t>, std::allocator<val_t> >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<val_t>, val_t const&)
  0.00      1.44     0.00    65134     0.00     0.00  std::_Rb_tree_iterator<val_t> std::_Rb_tree<val_t, val_t, std::_Identity<val_t>, std::less<val_t>, std::allocator<val_t> >::_M_insert_unique_<val_t&, std::_Rb_tree<val_t, val_t, std::_Identity<val_t>, std::less<val_t>, std::allocator<val_t> >::_Alloc_node>(std::_Rb_tree_const_iterator<val_t>, val_t&, std::_Rb_tree<val_t, val_t, std::_Identity<val_t>, std::less<val_t>, std::allocator<val_t> >::_Alloc_node&)
  0.00      1.44     0.00    49417     0.00     0.00  std::_Rb_tree<val_t, val_t, std::_Identity<val_t>, std::less<val_t>, std::allocator<val_t> >::_M_erase_aux(std::_Rb_tree_const_iterator<val_t>, std::_Rb_tree_const_iterator<val_t>)
  0.00      1.44     0.00    49417     0.00     0.00  std::_Rb_tree<val_t, val_t, std::_Identity<val_t>, std::less<val_t>, std::allocator<val_t> >::erase(val_t const&)
  0.00      1.44     0.00    46613     0.00     0.00  ADS_set<val_t, 7ul>::size() const
  0.00      1.44     0.00    40590     0.00     0.00  std::_Rb_tree_iterator<val_t> std::_Rb_tree<val_t, val_t, std::_Identity<val_t>, std::less<val_t>, std::allocator<val_t> >::_M_insert_<val_t const&, std::_Rb_tree<val_t, val_t, std::_Identity<val_t>, std::less<val_t>, std::allocator<val_t> >::_Alloc_node>(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, val_t const&, std::_Rb_tree<val_t, val_t, std::_Identity<val_t>, std::less<val_t>, std::allocator<val_t> >::_Alloc_node&)
  0.00      1.44     0.00    32317     0.00     0.00  std::_Rb_tree_iterator<val_t> std::_Rb_tree<val_t, val_t, std::_Identity<val_t>, std::less<val_t>, std::allocator<val_t> >::_M_insert_<val_t&, std::_Rb_tree<val_t, val_t, std::_Identity<val_t>, std::less<val_t>, std::allocator<val_t> >::_Alloc_node>(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, val_t&, std::_Rb_tree<val_t, val_t, std::_Identity<val_t>, std::less<val_t>, std::allocator<val_t> >::_Alloc_node&)
  0.00      1.44     0.00    18430     0.00     0.00  std::_Rb_tree<val_t, val_t, std::_Identity<val_t>, std::less<val_t>, std::allocator<val_t> >::_M_lower_bound(std::_Rb_tree_node<val_t>*, std::_Rb_tree_node_base*, val_t const&)
  0.00      1.44     0.00    18430     0.00     0.00  std::_Rb_tree<val_t, val_t, std::_Identity<val_t>, std::less<val_t>, std::allocator<val_t> >::_M_upper_bound(std::_Rb_tree_node<val_t>*, std::_Rb_tree_node_base*, val_t const&)
  0.00      1.44     0.00    18398     0.00     0.00  std::_Rb_tree<val_t, val_t, std::_Identity<val_t>, std::less<val_t>, std::allocator<val_t> >::_M_erase_aux(std::_Rb_tree_const_iterator<val_t>)
